'experiment_name','model_name','vocab_size','max_seq_length','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
text_cnn_10seqlength_1,text_cnn,10000,10,50,glove,glove.6B.50d,0.7968299,0.74120957,0.78429955,0.7427402,0.87107617,0.70576173,0.7070360382446678,0.7070360382446678,0.7070360382446678,0.43654298017232224,0.33811193562543346,0.43654298017232224,0.6707538977929576,0.7070360382446678,0.6789117393512898
text_cnn_10seqlength_2,text_cnn,10000,10,50,glove,glove.6B.50d,0.792374,0.74224585,0.79437524,0.74073935,0.8889242,0.707015,0.7080166707526354,0.7080166707526354,0.7080166707526354,0.4417310688348516,0.3669833164871231,0.4417310688348516,0.6774668872988925,0.7080166707526354,0.683561538040446
text_cnn_10seqlength_3,text_cnn,10000,10,50,glove,glove.6B.50d,0.79896486,0.7409536,0.7824911,0.7439118,0.87581027,0.7172689,0.7183133120862957,0.7183133120862957,0.7183133120862957,0.43426730307406347,0.3426494533829745,0.43426730307406347,0.6885353509441396,0.7183133120862957,0.6922140402138696
text_cnn_10seqlength_4,text_cnn,10000,10,50,glove,glove.6B.50d,0.79901516,0.74019355,0.7837847,0.7437376,0.8769581,0.7187012,0.720029418975239,0.720029418975239,0.720029418975239,0.45088690689995087,0.34403368739179074,0.45088690689995087,0.6857516539338336,0.720029418975239,0.6912656418361192
text_cnn_10seqlength_5,text_cnn,10000,10,50,glove,glove.6B.50d,0.7988403,0.74040717,0.78489256,0.7429067,0.87198997,0.71479493,0.7161068889433685,0.7161068889433685,0.7161068889433685,0.5144001713291942,0.3693177039988751,0.5144001713291942,0.6875940966180055,0.7161068889433685,0.6874312577550454
text_cnn_10seqlength_6,text_cnn,10000,10,50,glove,glove.6B.50d,0.8024867,0.7403462,0.7896053,0.7425691,0.8662169,0.7172689,0.7183133120862957,0.7183133120862957,0.7183133120862957,0.45007793270402985,0.3214574238620328,0.45007793270402985,0.6886121163302189,0.7183133120862957,0.6894126801461155
text_cnn_10seqlength_7,text_cnn,10000,10,50,glove,glove.6B.50d,0.7939184,0.7421193,0.7804899,0.74262977,0.8687295,0.71796876,0.7192939445942633,0.7192939445942633,0.7192939445942634,0.4844670666169102,0.3490537918581572,0.4844670666169102,0.7026769957174968,0.7192939445942633,0.6929322821656457
text_cnn_10seqlength_8,text_cnn,10000,10,50,glove,glove.6B.50d,0.8046867,0.7395858,0.78418535,0.7437484,0.87495726,0.71458334,0.7156165726893846,0.7156165726893846,0.7156165726893846,0.42006196024674197,0.33865189515793515,0.42006196024674197,0.6845973611898506,0.7156165726893846,0.6871075252158241
text_cnn_10seqlength_9,text_cnn,10000,10,50,glove,glove.6B.50d,0.7951063,0.7413892,0.7929731,0.7423995,0.89478743,0.7061849,0.7080166707526354,0.7080166707526354,0.7080166707526354,0.4308926578920301,0.3285844325891442,0.4308926578920301,0.6744881692551327,0.7080166707526354,0.6777793474354834
text_cnn_10seqlength_10,text_cnn,10000,10,50,glove,glove.6B.50d,0.80415154,0.7387781,0.78425884,0.74176157,0.8701689,0.71137697,0.7126746751654818,0.7126746751654818,0.7126746751654818,0.45897977431540443,0.3450773788536816,0.45897977431540443,0.6810084407302068,0.7126746751654818,0.6823659438175067
dcnn_10seqlength_1,dcnn,10000,10,50,glove,glove.6B.50d,0.846524,0.72885877,0.80559874,0.7401512,0.8608743,0.720931,0.7219906839911743,0.7219906839911743,0.7219906839911743,0.4410291126126384,0.3457411702781756,0.4410291126126384,0.694264855780472,0.7219906839911743,0.6952582620288663
dcnn_10seqlength_2,dcnn,10000,10,50,glove,glove.6B.50d,0.8419076,0.7300619,0.79724294,0.7371919,0.8778761,0.7179362,0.7195391027212552,0.7195391027212552,0.7195391027212552,0.39658868353276955,0.31941978635058416,0.39658868353276955,0.6793130910786213,0.7195391027212552,0.6860427786388605
dcnn_10seqlength_3,dcnn,10000,10,50,glove,glove.6B.50d,0.843768,0.7299969,0.8062603,0.73638445,0.89714205,0.7074707,0.7087521451336112,0.7087521451336112,0.7087521451336112,0.429314942170991,0.3276276629284828,0.429314942170991,0.6776820584736757,0.7087521451336112,0.672728292438553
dcnn_10seqlength_4,dcnn,10000,10,50,glove,glove.6B.50d,0.8510774,0.72790337,0.80283135,0.74054796,0.8765325,0.70820314,0.7094876195145869,0.7094876195145869,0.7094876195145869,0.40212432575043383,0.32640914742254085,0.40212432575043383,0.6720307015610535,0.7094876195145869,0.6745329771048173
dcnn_10seqlength_5,dcnn,10000,10,50,glove,glove.6B.50d,0.845684,0.729567,0.8018698,0.73818773,0.8709622,0.7174805,0.7188036283402794,0.7188036283402794,0.7188036283402796,0.44251628678212795,0.34507332816455916,0.44251628678212795,0.6876547502084854,0.7188036283402794,0.6920540166225767
dcnn_10seqlength_6,dcnn,10000,10,50,glove,glove.6B.50d,0.84678024,0.7294202,0.8030018,0.7411828,0.8998516,0.69938153,0.7009070850698701,0.7009070850698701,0.7009070850698701,0.40470322112829765,0.31571747728064886,0.40470322112829765,0.678445196051845,0.7009070850698701,0.6674088550581707
dcnn_10seqlength_7,dcnn,10000,10,50,glove,glove.6B.50d,0.8474369,0.72889745,0.8048359,0.738947,0.89815253,0.70182294,0.7033586663397892,0.7033586663397892,0.7033586663397892,0.39055632193716533,0.34779605947209374,0.39055632193716533,0.6717554060638559,0.7033586663397892,0.6683065948234153
dcnn_10seqlength_8,dcnn,10000,10,50,glove,glove.6B.50d,0.8430637,0.7303647,0.80046386,0.73998165,0.8831579,0.71308595,0.7143907820544251,0.7143907820544251,0.7143907820544251,0.40656396573213244,0.3461181094424352,0.40656396573213244,0.6798049575175826,0.7143907820544251,0.6818981358472537
dcnn_10seqlength_9,dcnn,10000,10,50,glove,glove.6B.50d,0.84389615,0.7296455,0.80452,0.7394807,0.86927193,0.7174805,0.7188036283402794,0.7188036283402794,0.7188036283402796,0.4345530581417116,0.3300498107868006,0.4345530581417116,0.6863051818833237,0.7188036283402794,0.6869234455489623
dcnn_10seqlength_10,dcnn,10000,10,50,glove,glove.6B.50d,0.8456309,0.72948706,0.80126935,0.73803836,0.8717365,0.70963544,0.7112037264035302,0.7112037264035302,0.7112037264035302,0.44505552930689635,0.3068434260324991,0.44505552930689635,0.6797960140176854,0.7112037264035302,0.6776169992112124
rcnn_10seqlength_1,rcnn,10000,10,50,glove,glove.6B.50d,1.0051872,0.71807206,0.97155195,0.7286641,0.9611676,0.7081706,0.7097327776415788,0.7097327776415788,0.7097327776415788,0.39520778218369357,0.3087768109398694,0.39520778218369357,0.6783178201337018,0.7097327776415788,0.6726945834489568
rcnn_10seqlength_2,rcnn,10000,10,50,glove,glove.6B.50d,1.0068926,0.7177194,0.98153085,0.72279376,0.9905597,0.69889325,0.7004167688158862,0.7004167688158862,0.7004167688158862,0.31789546144845426,0.24497353179473294,0.31789546144845426,0.6569065646090728,0.7004167688158862,0.6600365308707131
rcnn_10seqlength_3,rcnn,10000,10,50,glove,glove.6B.50d,1.010169,0.7171135,0.96913177,0.7240322,0.9808664,0.7086914,0.7099779357685707,0.7099779357685707,0.7099779357685707,0.329377259642279,0.26699724118247725,0.329377259642279,0.6622575671029309,0.7099779357685707,0.6734113053656865
rcnn_10seqlength_4,rcnn,10000,10,50,glove,glove.6B.50d,1.0024956,0.7175344,0.97557104,0.72873414,0.9728291,0.70872396,0.7097327776415788,0.7097327776415788,0.7097327776415788,0.3563516226613976,0.28604790657912105,0.3563516226613976,0.6725369737664295,0.7097327776415788,0.6740658860708308
rcnn_10seqlength_5,rcnn,10000,10,50,glove,glove.6B.50d,0.99665016,0.7197607,0.97947997,0.7252863,0.9938151,0.703597,0.7045844569747487,0.7045844569747487,0.7045844569747487,0.31144196652451905,0.24709868991007544,0.31144196652451905,0.6581513594712028,0.7045844569747487,0.6666006421446209
rcnn_10seqlength_6,rcnn,10000,10,50,glove,glove.6B.50d,1.0009795,0.71796685,0.97482526,0.7275128,0.9563324,0.6999349,0.7009070850698701,0.7009070850698701,0.7009070850698701,0.31305902213067477,0.26310778219662545,0.31305902213067477,0.6532495105895791,0.7009070850698701,0.6576417812304568
rcnn_10seqlength_7,rcnn,10000,10,50,glove,glove.6B.50d,1.0007023,0.71770793,0.9416728,0.731404,0.9892959,0.69501954,0.6962490806570237,0.6962490806570237,0.6962490806570237,0.36477077412597947,0.2625991595344395,0.36477077412597947,0.6765767781340234,0.6962490806570237,0.6545908789776235
rcnn_10seqlength_8,rcnn,10000,10,50,glove,glove.6B.50d,0.99946314,0.71833146,0.9613248,0.73199373,0.9638689,0.70719403,0.7087521451336112,0.7087521451336112,0.7087521451336112,0.35496090809596603,0.25629979438372374,0.35496090809596603,0.6647766789737773,0.7087521451336112,0.671070807547184
rcnn_10seqlength_9,rcnn,10000,10,50,glove,glove.6B.50d,1.0022157,0.71654356,0.9743414,0.7271782,0.9888301,0.7015788,0.7031135082127973,0.7031135082127973,0.7031135082127973,0.3555704907681488,0.2944049826792192,0.3555704907681488,0.6675300088371369,0.7031135082127973,0.6628913029351853
rcnn_10seqlength_10,rcnn,10000,10,50,glove,glove.6B.50d,1.005947,0.71595097,0.9668566,0.7251136,0.9809447,0.70994467,0.7109585682765384,0.7109585682765384,0.7109585682765385,0.34388798779304536,0.2548684742891628,0.34388798779304536,0.6863401055590963,0.7109585682765384,0.674529642212465
lstm_10seqlength_1,lstm,10000,10,50,glove,glove.6B.50d,0.93042713,0.7288603,0.9452629,0.73271877,0.9435524,0.7206543,0.7219906839911743,0.7219906839911743,0.7219906839911743,0.36287615545629603,0.27653399569110043,0.36287615545629603,0.6803150992729404,0.7219906839911743,0.6888699313890718
lstm_10seqlength_2,lstm,10000,10,50,glove,glove.6B.50d,0.9248989,0.73014295,0.9308526,0.7384911,0.9353674,0.7111003,0.7126746751654818,0.7126746751654818,0.7126746751654818,0.40347263226786345,0.30258994331016564,0.40347263226786345,0.674596068239051,0.7126746751654818,0.6767094956087889
lstm_10seqlength_3,lstm,10000,10,50,glove,glove.6B.50d,0.9352838,0.7268799,0.9288496,0.7387307,0.94912624,0.7093913,0.7109585682765384,0.7109585682765384,0.7109585682765385,0.3884311935741276,0.2954856380944846,0.3884311935741276,0.6904517462495946,0.7109585682765384,0.6800589016714798
lstm_10seqlength_4,lstm,10000,10,50,glove,glove.6B.50d,0.9281501,0.7294448,0.9237719,0.7400921,0.94804627,0.71280926,0.7143907820544251,0.7143907820544251,0.7143907820544251,0.3459308106138304,0.27731198232882737,0.3459308106138304,0.6663248589678704,0.7143907820544251,0.6805394489067115
lstm_10seqlength_5,lstm,10000,10,50,glove,glove.6B.50d,0.9360204,0.72769415,0.9287349,0.73658204,0.95512986,0.71695966,0.7185584702132876,0.7185584702132876,0.7185584702132876,0.38281155866778227,0.27948122000166065,0.38281155866778227,0.6775142502995825,0.7185584702132876,0.6828988789940299
lstm_10seqlength_6,lstm,10000,10,50,glove,glove.6B.50d,0.9374321,0.7269228,0.93108505,0.73580563,0.946515,0.71695966,0.7185584702132876,0.7185584702132876,0.7185584702132876,0.40471963564463787,0.29339952487541143,0.40471963564463787,0.6815988545671863,0.7185584702132876,0.6856373085721557
lstm_10seqlength_7,lstm,10000,10,50,glove,glove.6B.50d,0.927304,0.7293001,0.93060195,0.73517704,0.97309864,0.71402997,0.7156165726893846,0.7156165726893846,0.7156165726893846,0.3619476510547129,0.29521056306118565,0.3619476510547129,0.6709700917992829,0.7156165726893846,0.6788676798272851
lstm_10seqlength_8,lstm,10000,10,50,glove,glove.6B.50d,0.93239546,0.72790366,0.9164542,0.73630506,0.9514025,0.71085614,0.7124295170384898,0.7124295170384898,0.7124295170384898,0.37330080693340095,0.27441360881077054,0.37330080693340095,0.6723690545167182,0.7124295170384898,0.6773389723046346
lstm_10seqlength_9,lstm,10000,10,50,glove,glove.6B.50d,0.93135846,0.7284231,0.9242168,0.7406958,0.9470843,0.7145508,0.7158617308163766,0.7158617308163766,0.7158617308163767,0.4618740510802181,0.3118085506059901,0.4618740510802181,0.7044506882965428,0.7158617308163766,0.681343064038378
lstm_10seqlength_10,lstm,10000,10,50,glove,glove.6B.50d,0.9285906,0.7283995,0.92533356,0.7382577,0.9535106,0.7057292,0.7072811963716598,0.7072811963716598,0.7072811963716598,0.3882673214078605,0.27179953913736704,0.3882673214078605,0.6751416396367582,0.7072811963716598,0.6699464997363139
bi_lstm_10seqlength_1,bi_lstm,10000,10,50,glove,glove.6B.50d,0.9533282,0.72654974,0.94917226,0.7342544,0.99215513,0.6859538,0.687423388085315,0.687423388085315,0.687423388085315,0.3298381283012238,0.2764206659510254,0.3298381283012238,0.6651614839018952,0.687423388085315,0.6337964290217513
bi_lstm_10seqlength_2,bi_lstm,10000,10,50,glove,glove.6B.50d,0.950501,0.7262296,0.95065844,0.7364607,0.9712868,0.7125651,0.7141456239274332,0.7141456239274332,0.7141456239274332,0.38509349796602477,0.2864170323928929,0.38509349796602477,0.6689849176202053,0.7141456239274332,0.678638625383545
bi_lstm_10seqlength_3,bi_lstm,10000,10,50,glove,glove.6B.50d,0.96103644,0.7250735,0.95021814,0.73576677,0.9711252,0.70841473,0.7099779357685707,0.7099779357685707,0.7099779357685707,0.3420993373365966,0.26191612038027734,0.3420993373365966,0.6626485743786399,0.7099779357685707,0.6752885180937666
bi_lstm_10seqlength_4,bi_lstm,10000,10,50,glove,glove.6B.50d,0.95385104,0.72659,0.93847954,0.7403831,0.96135706,0.7074382,0.7089973032606031,0.7089973032606031,0.7089973032606031,0.3423438521956513,0.2614628504252109,0.3423438521956513,0.664990365443773,0.7089973032606031,0.670858860224201
bi_lstm_10seqlength_5,bi_lstm,10000,10,50,glove,glove.6B.50d,0.9635732,0.7246169,0.9600694,0.73478806,0.9892932,0.71165365,0.7126746751654818,0.7126746751654818,0.7126746751654818,0.32744436017208384,0.2703054417468664,0.32744436017208384,0.6726371254204576,0.7126746751654818,0.6823576344676523
bi_lstm_10seqlength_6,bi_lstm,10000,10,50,glove,glove.6B.50d,0.96204543,0.72418886,0.9618344,0.7309124,0.9829718,0.70914716,0.7107134101495465,0.7107134101495465,0.7107134101495465,0.3341449442566847,0.2850785572781803,0.3341449442566847,0.6759836596352187,0.7107134101495465,0.6730397939323731
bi_lstm_10seqlength_7,bi_lstm,10000,10,50,glove,glove.6B.50d,0.9624359,0.7257135,0.9593997,0.73577297,0.9664137,0.7045085,0.7060554057367002,0.7060554057367002,0.7060554057367002,0.35096863931075767,0.25532540713166413,0.35096863931075767,0.6652374984991465,0.7060554057367002,0.6641509711293508
bi_lstm_10seqlength_8,bi_lstm,10000,10,50,glove,glove.6B.50d,0.9659558,0.724758,0.95510304,0.73040515,0.9362295,0.70670575,0.7082618288796274,0.7082618288796274,0.7082618288796275,0.38894267260925347,0.2920967743835268,0.38894267260925347,0.6726323199432098,0.7082618288796274,0.672060762965613
bi_lstm_10seqlength_9,bi_lstm,10000,10,50,glove,glove.6B.50d,0.9527957,0.7251062,0.95110583,0.7326783,0.95875525,0.71280926,0.7143907820544251,0.7143907820544251,0.7143907820544251,0.3483302287807723,0.2727476241617321,0.3483302287807723,0.6686702394142199,0.7143907820544251,0.6766664796367008
bi_lstm_10seqlength_10,bi_lstm,10000,10,50,glove,glove.6B.50d,0.9581051,0.7256124,0.9502258,0.73565316,0.955452,0.7074382,0.7089973032606031,0.7089973032606031,0.7089973032606031,0.402867359331683,0.2842368487597402,0.402867359331683,0.6730495016908121,0.7089973032606031,0.6694253706513361
gru_10seqlength_1,gru,10000,10,50,glove,glove.6B.50d,1.0274255,0.715015,1.0048842,0.7246608,0.9678543,0.7072591,0.7082618288796274,0.7082618288796274,0.7082618288796275,0.35641049930227975,0.2691659268391401,0.35641049930227975,0.674119379952143,0.7082618288796274,0.6732879457212584
gru_10seqlength_2,gru,10000,10,50,glove,glove.6B.50d,1.0207553,0.7155823,1.006776,0.72634584,0.995235,0.7035319,0.7050747732287326,0.7050747732287326,0.7050747732287326,0.360321424640263,0.25900096898183245,0.360321424640263,0.6640015034716437,0.7050747732287326,0.6687180829245762
gru_10seqlength_3,gru,10000,10,50,glove,glove.6B.50d,1.0353143,0.71318835,1.0136244,0.7243963,0.9634646,0.7098796,0.7114488845305222,0.7114488845305222,0.7114488845305222,0.3893340387847535,0.2668317876580203,0.3893340387847535,0.682969850319006,0.7114488845305222,0.6769098921206562
gru_10seqlength_4,gru,10000,10,50,glove,glove.6B.50d,1.0297017,0.71368855,0.9935103,0.7319922,0.9849517,0.7118327,0.7134101495464574,0.7134101495464574,0.7134101495464574,0.3529789253840335,0.28252243997265675,0.3529789253840335,0.6695780811428698,0.7134101495464574,0.677768178950353
gru_10seqlength_5,gru,10000,10,50,glove,glove.6B.50d,1.0393378,0.71466553,1.0272149,0.72417384,0.970986,0.6974284,0.6989458200539348,0.6989458200539348,0.6989458200539348,0.3503932496175123,0.28688101258085147,0.3503932496175123,0.6590629903645464,0.6989458200539348,0.6590075685732042
gru_10seqlength_6,gru,10000,10,50,glove,glove.6B.50d,1.0280763,0.71405053,1.0131006,0.7247386,0.9856522,0.7059733,0.7075263544986516,0.7075263544986516,0.7075263544986515,0.36366659526586725,0.28726710971651365,0.36366659526586725,0.6635033167690055,0.7075263544986516,0.6714720103453329
gru_10seqlength_7,gru,10000,10,50,glove,glove.6B.50d,1.0273601,0.7147194,1.0092742,0.7233554,0.95314157,0.7027995,0.7043392988477568,0.7043392988477568,0.7043392988477568,0.38412695212612447,0.2791681454968525,0.38412695212612447,0.6658016305072113,0.7043392988477568,0.6643720433625703
gru_10seqlength_8,gru,10000,10,50,glove,glove.6B.50d,1.0351319,0.71348894,1.0096843,0.7231096,0.9707379,0.7093913,0.7109585682765384,0.7109585682765384,0.7109585682765385,0.3686559429869707,0.28612284562848295,0.3686559429869707,0.6681262200610814,0.7109585682765384,0.6737612845739716
gru_10seqlength_9,gru,10000,10,50,glove,glove.6B.50d,1.0193552,0.7147384,1.0040607,0.72922736,0.9670691,0.7015788,0.7031135082127973,0.7031135082127973,0.7031135082127973,0.33413736722133686,0.2869033539620419,0.33413736722133686,0.6612514073008037,0.7031135082127973,0.6629342796256839
gru_10seqlength_10,gru,10000,10,50,glove,glove.6B.50d,1.0335102,0.7132846,1.0198802,0.72537965,0.9598523,0.7091146,0.7109585682765384,0.7109585682765384,0.7109585682765385,0.3342174502215988,0.26406644617406805,0.3342174502215988,0.6717818860955488,0.7109585682765384,0.6757282344542959
bi_gru_10seqlength_1,bi_gru,10000,10,50,glove,glove.6B.50d,1.0609046,0.71168005,1.0419129,0.7212892,0.9686173,0.709668,0.7109585682765384,0.7109585682765384,0.7109585682765385,0.4417031866882426,0.29059825138623746,0.4417031866882426,0.6811908836044377,0.7109585682765384,0.675407249538321
bi_gru_10seqlength_2,bi_gru,10000,10,50,glove,glove.6B.50d,1.0692798,0.7098318,1.0354702,0.72038054,0.96903723,0.70060223,0.7021328757048296,0.7021328757048296,0.7021328757048296,0.34112585320838257,0.27422307885199043,0.34112585320838257,0.6601908979121773,0.7021328757048296,0.6633483741857161
bi_gru_10seqlength_3,bi_gru,10000,10,50,glove,glove.6B.50d,1.0503727,0.7137096,1.029178,0.7213499,0.9690236,0.7086914,0.7099779357685707,0.7099779357685707,0.7099779357685707,0.4015962572689624,0.28180696605774197,0.4015962572689624,0.6749171338339389,0.7099779357685707,0.6744160511692251
bi_gru_10seqlength_4,bi_gru,10000,10,50,glove,glove.6B.50d,1.070358,0.7093267,1.0506372,0.7191483,0.980297,0.70841473,0.7099779357685707,0.7099779357685707,0.7099779357685707,0.35434294118402143,0.2702321119743626,0.35434294118402143,0.6697612178826433,0.7099779357685707,0.6729860077896105
bi_gru_10seqlength_5,bi_gru,10000,10,50,glove,glove.6B.50d,1.046733,0.71100944,1.0176303,0.71877337,0.9850898,0.7067383,0.7080166707526354,0.7080166707526354,0.7080166707526354,0.3469508624721297,0.261262217969033,0.3469508624721297,0.6654170236395581,0.7080166707526354,0.669342816364563
bi_gru_10seqlength_6,bi_gru,10000,10,50,glove,glove.6B.50d,1.0465572,0.71195567,1.0325248,0.7220672,0.98503697,0.6974935,0.6984555037999509,0.6984555037999509,0.6984555037999509,0.36876203786645917,0.2793672332489097,0.36876203786645917,0.6672227577846025,0.6984555037999509,0.6557232027859985
bi_gru_10seqlength_7,bi_gru,10000,10,50,glove,glove.6B.50d,1.0850712,0.7083141,1.0640724,0.7184357,0.9849732,0.71085614,0.7124295170384898,0.7124295170384898,0.7124295170384898,0.39867724940214727,0.2825730420307965,0.39867724940214727,0.6780084918293955,0.7124295170384898,0.6825504680345958
bi_gru_10seqlength_8,bi_gru,10000,10,50,glove,glove.6B.50d,1.0475771,0.713282,1.0343128,0.7207524,0.97695875,0.71329755,0.714881098308409,0.714881098308409,0.714881098308409,0.3650076603858614,0.26381955142666286,0.3650076603858614,0.6729561095553095,0.714881098308409,0.6790776979163629
bi_gru_10seqlength_9,bi_gru,10000,10,50,glove,glove.6B.50d,1.0584189,0.7110475,1.0380923,0.72038054,0.98780876,0.6967285,0.6979651875459671,0.6979651875459671,0.6979651875459671,0.3823073741954547,0.27420469777205436,0.3823073741954547,0.6673596393257907,0.6979651875459671,0.6605573117286395
bi_gru_10seqlength_10,bi_gru,10000,10,50,glove,glove.6B.50d,1.0528044,0.70879745,1.0149895,0.71921986,0.982359,0.693278,0.6947781318950723,0.6947781318950723,0.6947781318950723,0.39712896787424534,0.2740479315573153,0.39712896787424534,0.6687372059747563,0.6947781318950723,0.6468943554906157
cnn_20seqlength_1,cnn,10000,20,50,glove,glove.6B.50d,0.7587635,0.76277244,0.9047909,0.738726,0.9467797,0.7109538,0.7116940426575141,0.7116940426575141,0.7116940426575142,0.475196345286232,0.3302118237131747,0.475196345286232,0.6882022018427241,0.7116940426575141,0.6805170326845239
cnn_20seqlength_2,cnn,10000,20,50,glove,glove.6B.50d,0.76407516,0.7612078,0.917777,0.74022126,0.92014503,0.7206543,0.7219906839911743,0.7219906839911743,0.7219906839911743,0.4474582785851922,0.3489570241456158,0.4474582785851922,0.6930401067488889,0.7219906839911743,0.6933753068820666
cnn_20seqlength_3,cnn,10000,20,50,glove,glove.6B.50d,0.75856245,0.7623518,0.9307742,0.73597836,0.947984,0.708903,0.7104682520225546,0.7104682520225546,0.7104682520225546,0.4001185152082062,0.33549282518970464,0.4001185152082062,0.6708580296666499,0.7104682520225546,0.678488530304387
cnn_20seqlength_4,cnn,10000,20,50,glove,glove.6B.50d,0.7597109,0.7620355,0.9188428,0.7371779,0.91715115,0.7189128,0.7205197352292229,0.7205197352292229,0.7205197352292229,0.40902231286281177,0.29006649143303126,0.40902231286281177,0.6886596217831891,0.7205197352292229,0.6887409074499735
cnn_20seqlength_5,cnn,10000,20,50,glove,glove.6B.50d,0.76102436,0.76205957,0.9076115,0.74106455,0.9557033,0.7167806,0.7178229958323118,0.7178229958323118,0.7178229958323118,0.4319424704803206,0.3352111709307427,0.4319424704803206,0.6911353204472771,0.7178229958323118,0.6883331903372785
cnn_20seqlength_6,cnn,10000,20,50,glove,glove.6B.50d,0.76164716,0.7629007,0.9320573,0.74180204,0.9540143,0.7144857,0.7163520470703604,0.7163520470703604,0.7163520470703604,0.48060538970076977,0.344566958850657,0.48060538970076977,0.6883513155456112,0.7163520470703604,0.6806990912731197
cnn_20seqlength_7,cnn,10000,20,50,glove,glove.6B.50d,0.76061726,0.76263905,0.9214648,0.738726,0.9394851,0.7064616,0.7080166707526354,0.7080166707526354,0.7080166707526354,0.47081276542523337,0.33570103455207595,0.47081276542523337,0.6766685651288951,0.7080166707526354,0.6735871339012088
cnn_20seqlength_8,cnn,10000,20,50,glove,glove.6B.50d,0.7577497,0.7629971,0.93448156,0.73636264,0.95172,0.7127767,0.714635940181417,0.714635940181417,0.714635940181417,0.3974545615633981,0.30396486836638414,0.3974545615633981,0.6813964630326775,0.714635940181417,0.684939493398151
cnn_20seqlength_9,cnn,10000,20,50,glove,glove.6B.50d,0.7603026,0.7622033,0.93380225,0.74244773,0.93119276,0.71765953,0.7195391027212552,0.7195391027212552,0.7195391027212552,0.39059924110489364,0.31588567695469505,0.39059924110489364,0.6752295500386791,0.7195391027212552,0.6859762483454378
